IdUnidade,Sigla,Descricao,SinProtocolo,SinArquivamento,SinOuvidoria
110000740,AGE/CJ/NAJ_SEDE_AJ,Assessoria Jurídica,N,N,N
110002695,AGE/CJ/NAJ_SEE_AJ_Consulta,Assessoria Jurídica - Unidade Consulta Jurídica,N,N,N
110002696,AGE/CJ/NAJ_SEE_AJ_Judicial,Assessoria Jurídica- Unidade  Judicial,N,N,N
110010744,AGE/CJ/NAJ_SEE_AJ_MS,Unidade destinada a tramitações de processos de mandado de segurança,N,N,N
110000788,AGE/CJ/NAJ_SEE_AJ_administrati,Assessoria Jurídica - Unidade Administrativa,N,N,N
110000823,AGE/CJ/NAJ_SEF_AJ,Assessoria Jurídica,N,N,N
110000838,AGE/CJ/NAJ_SEGOV_AJ,Assessoria Jurídica,N,N,N
110000841,AGE/CJ/NAJ_SEINFRA_AJ,Assessoria Jurídica,N,N,N
110000975,AGE/CJ/NAJ_SEJUSP_AJ,Assessoria Jurídica,N,N,N
110025798,AGE/CJ/NAJ_SEJUSP_AJ_JUDICIAL,Unidade Judicial - Assessoria Jurídica,N,N,N
110000906,AGE/CJ/NAJ_SEMAD_AJ,Assessoria Jurídica,N,N,N
110000230,AGE/CJ/NAJ_SEPLAG AJA_AJ,Assessoria Jurídica,N,N,N
110003639,AGE/CJ/NAJ_SEPLAG AJA_JUDICIA,Judicial,N,N,N
110015689,AGE/CJ/NAJ_SEPLAG AJA_MS,Mandados de Segurança,N,N,N
110000265,AGE/CJ/NAJ_SEPLAG SUBCOMP_AJ,Assessoria Jurídica,N,N,N
110032821,AGE/CJ/NAJ_SEPLAG_CET_AJ,ASSESSORIA JURÍDICA,N,N,N
110030450,AGE/CJ/NAJ_SEPLAG_CET_AJ_ASSES,ASSESSORIA GERAL,N,N,N
110030449,AGE/CJ/NAJ_SEPLAG_CET_AJ_CCOJ,CARTÓRIO DE CUMPRIMENTO DE ORDENS JUDICIAIS,N,N,N
110030081,AGE/CJ/NAJ_SEPLAG_CET_AJ_COJC,CUMPRIMENTO DE ORDEM JUDICIAL DE CONDUTOR,N,N,N
110030452,AGE/CJ/NAJ_SEPLAG_CET_AJ_GEI,GESTÃO DE IMPEDIMENTO,N,N,N
110030446,AGE/CJ/NAJ_SEPLAG_CET_AJ_SUPA,ASSJUR SUPORTE ADMINISTRATIVO,N,N,N
110000835,AGE/CJ/NAJ_SES_AJ,Assessoria Jurídica,N,N,N
110014096,AGE/CJ/NAJ_SES_AJ_MS,Assessoria Jurídica Mandado de Segurança,N,N,N
110014097,AGE/CJ/NAJ_SES_AJ_PJ,Assessoria Jurídica Processo Judicial,N,N,N
110000885,AGE/CJ/NAJ_UNIMONTES_PJ,Procuradoria da Unimontes,N,N,N
110000893,AGE/CJ/NAJ_UTRAMIG_JURIDICO,Procuradoria Jurídica,N,N,N
110021107,AGE/COMISSAODEETICA,Comissão de Ética,N,N,N
110030104,AGE/COMITETELETRABALHO,Comitê Interno de Teletrabalho,N,N,N
110005232,AGE/CORREGEDORIA,Corregedoria,N,N,N
110014391,AGE/CPRAC,Câmara de Prevenção e Resolução Administrativa de Conflitos,N,N,N
110029958,AGE/CRCT,Coordenação Regional de Contratados Temporários,N,N,N
110029959,AGE/CROR,"Coordenação Regional de Obrigações Residuais, Patrimônio e Meio Ambiente",N,N,N
110029957,AGE/CRPA,Coordenação Regional de matéria Administrativa e de Pessoal,N,N,N
110003625,AGE/CS,Conselho Superior da AGE-MG,N,N,N
110020450,AGE/CSE,Controladoria Setorial,N,N,N
110012806,AGE/Comissão,Comissões Corregedoria,N,N,N
110014390,AGE/Corregedoria - ARQUIVO,CORREGEDORIA - Arquivo,N,N,N
110004119,AGE/DAL,Diretoria de Apoio Logístico,N,N,N
110004397,AGE/DAPO/AQUISICOES,"Diretoria de Aquisições, Planejamento e Orçamento",N,N,N
110006468,AGE/DAPO/ORCAMENTO,"Diretoria de Aquisições, Planejamento e Orçamento",N,N,N
110027699,AGE/DAPO/VALE,"Diretoria de Aquisições, Planejamento e Orçamento - Vale",N,N,N
110010205,AGE/DCMP,Diretoria de Cadastro de Mandados e Protocolo,N,N,N
110031656,AGE/DCMP/PROCESSOSAMBIENTAIS,Diretoria de Cadastro de Mandados e Protocolo - Processos Ambientais,N,N,N
110006469,AGE/DFC,Diretoria Financeira e Contábil,N,N,N
110001269,AGE/DG,Diretoria Geral,N,N,N
110005817,AGE/DGD,Diretoria de Gestão de Documentos,N,N,N
110010326,AGE/DGDP,Diretoria de Gestão de Distribuição Processual,N,N,N
110020405,AGE/DIDTI,Diretoria de Inovação e Desenvolvimento de Tecnologia da Informação,N,N,N
110033021,AGE/DIDTI/CADASTRO,DIDTI - Unidade de Cadastro de Usuários nos Sistemas da AGE,N,N,N
110004998,AGE/DITIC,Diretoria de Infraestrutura de Tecnologia da Informação e Comunicação,N,N,N
110033006,AGE/DITIC/CADASTRO,DITIC - Unidade de Cadastro de Usuários nos Sistemas da AGE,N,N,N
110006467,AGE/DRH,Diretoria de Recursos Humanos,S,N,N
110010066,AGE/DRH ARQUIVO,Diretoria de Recursos Humanos - Arquivo,N,N,N
110023054,AGE/DRH COMISSAODERECURSOS,Diretoria de Recursos Humanos - Comissão de Recursos,N,N,N
110021008,AGE/DRH ESTAGIO,Diretoria de Recursos Humanos - Estágio,N,N,N
110021009,AGE/DRH FREQUENCIA,Diretoria de Recursos Humanos - Frequência,N,N,N
110022462,AGE/DRH GESTAODEPESSOAS,Diretoria de Recursos Humanos - Gestão de Pessoas,N,N,N
110015761,AGE/DRH POSSE,Diretoria de Recursos Humanos - Posse,N,N,N
110027499,AGE/ENCARREGADO,Encarregado de Dados,N,N,N
110031539,AGE/ESTAGIO PROBATORIO,Estágio probatório do Procurador do Estado,N,N,N
110027415,AGE/FERIAS PREMIO,Gabinete - Férias Prêmio,N,N,N
110000715,AGE/GAB/ASSGAB,Gabinete,N,N,N
110016444,AGE/GAB/CHEFEGAB,Assessoria Chefe de Gabinete,N,N,N
110020377,AGE/NAF,Nucleo de Auditores Fiscais,N,N,S
110000712,AGE/NAJ,Núcleo de Assessoramento Juridico,N,N,N
110020703,AGE/NAT,Núcleo de Assessores Técnicos,N,N,N
110020788,AGE/NGB,Núcleo de Gestão de Bens,N,N,N
110016270,AGE/NUT,Núcleo de Uniformização de Teses,N,N,N
110004404,AGE/PA,AGE/Procuradoria Administrativa e de Pessoal - Conhecimento,N,N,N
110015804,AGE/PAF,Procuradoria de Autarquias e Fundações,N,N,N
110027208,AGE/PAGAMENTO DATIVOS,Pagamento Dativos,N,N,N
110004350,AGE/PDA,Procuradoria da Dívida Ativa Não Tributária,N,N,N
110029516,AGE/PDA/DIV. ATIVA/AMBIENTAL,Procuradoria da Dívida Ativa Não Tributária - Ambiental,N,N,N
110032665,AGE/PDA/PROTESTO,Procuradoria de Dívida Ativa Não Tributária - Protesto,N,N,N
110004039,AGE/PDAT,Procuradoria de Dívida Ativa e Assuntos Tributários,N,N,N
110031068,AGE/PDAT/ADM,Procuradoria de Dívida Ativa e Assuntos Tributários - Administrativo,N,N,N
110005628,AGE/PDE,Procuradoria de Demandas Estratégicas,N,N,N
110003951,AGE/PDOP,"AGE/Procuradoria de Direitos Difusos, Obrigações e Patrimônio",N,N,N
110004058,AGE/PPI,Procuradoria do Patrimônio Imobiliário e Meio Ambiente,N,N,N
110001176,AGE/PROAD,Protocolo Administrativo,S,S,N
110004474,AGE/PTF,Procuradoria de Tributos e Assuntos Fiscais,N,N,N
110004858,AGE/PTPT,"AGE/Procuradoria do Tesouro, Precatórios, Trabalho",N,N,N
110028975,AGE/PTPT/ADICIONAL NOTURNO,"Procuradoria do Tesouro, Precatórios e Trabalho - Adicional Noturno - SEJUSP",N,N,N
110010073,AGE/PTPT/CALC-SCAT,Superintendência de Cálculos e Assistência Técnica,N,N,N
110020885,AGE/PTPT/NPR,Núcleo de Pagamento de RPV/Precatório,N,N,N
110022792,AGE/RAM-CB/RD,Resposta Acidentes Minerários - Comitê Brumadinho - Rio Doce,N,N,N
110029956,AGE/REGIONAL DIREITO SANITÁRIO,AGE/Regional de Direito Sanitário - ARE Uberlândia e Uberaba,N,N,N
110001270,AGE/SAP,Superintendência de Apoio Processual,N,N,N
110004040,AGE/SECMURIAE,Escritório Seccional de Muriaé,N,N,N
110004126,AGE/SECPASSOS,Escritório Seccional de Passos,N,N,N
110004746,AGE/SECPATOS,Escritório Seccional de Patos de Minas,N,N,N
110005288,AGE/SECPOUSOALEGRE,Escritório Seccional de Pouso Alegre,N,N,N
110004719,AGE/SECPOÇOSDECALDAS,Escritório Seccional de Poços de Caldas,N,N,N
110004235,AGE/SECSETELAGOAS,Escritório Seccional de Sete Lagoas,N,N,N
110034104,AGE/SEI-FEDERACAO,Teste SEI Federação,N,N,N
110020406,AGE/SINTI,Superintendência de Inovação e Tecnologia de Informação,N,N,N
110001275,AGE/SPGF,"Superintendência de Planejamento, Gestão e Finanças",N,N,N
110023003,AGE/TCE,Núcleo da AGE de recebimento de demandas do TCE,N,N,N
110031306,AGE/TREINAMENTO,Unidade de Treinamento para Novos Procuradores,N,N,N
110029895,AGE/VERBAS RETIDAS,Procuradoria Administrativa - Verbas Retidas,N,N,N
110020744,ARMBH/ADM,Assessoria de de Apoio Administrativo,N,N,N
110004268,ARMBH/ASCOM,Assessoria de Comunicação Social,N,N,N
110014079,ARMBH/CAR,Comissão de Apreciação de Recursos,N,N,N
110033768,ARMBH/CGILP,Comitê de Gestão Integrada da Lagoa da Pampulha,N,N,N
110005882,ARMBH/DG,Diretoria-Geral,N,N,N
110004274,ARMBH/DIP,Diretoria de Informação e Pesquisa,N,N,N
110020745,ARMBH/DL,Diretoria de Inovação e Logística,N,N,N
110004272,ARMBH/DP,"Diretoria de Planejamento Metropolitano, Articulação e Intersetorialidade",N,N,N
110004271,ARMBH/DR,Diretoria de Regulação Metropolitana,N,N,N
110010860,ARMBH/GAOT,Gerência de Apoio Ordenação Territorial,S,N,N
110014694,ARMBH/GF,Gerência de Fiscalização,N,N,N
110020743,ARMBH/GIP,Gerência de Informação e Pesquisa,N,N,N
110014626,ARMBH/GPMET,Gerência de Articulação e Planejamento Metropolitano,N,N,N
110004273,ARMBH/GPOF,"Gerência de Planejamento, Orçamento e Finanças",N,N,N
110027528,ARMBH/LGPD,Lei Geral de Proteção de Dados,N,N,N
110004269,ARMBH/NATE,Núcleo de Assessoramento Técnico Especial,N,N,N
110008029,ARMBH/NCF,Núcleo de Contabilidade e Finanças,N,N,N
110008027,ARMBH/NPO,"Núcleo de Planejamento, Orçamento, Contratos e Compras",N,N,N
110008028,ARMBH/NRH,Núcleo de Recursos Humanos,N,N,N
110004270,ARMBH/OPM,Observatório de Políticas Metropolitanas,N,N,N
110020857,ARMBH/POSSE,Posse e Exercicio,N,N,N
110033559,ARMBH/REURB,Regularização Fundiária Urbana,N,N,N
110012983,ARMBH/SIPARQ,Sistema SIP Arquivo,N,S,N
110006154,ARMVA/AC,Assessoria de Comunicação,N,N,N
110028178,ARMVA/AMRMVA,Assembleia Metropolitana da Região Metropolitana do Vale do Aço,N,N,N
110021936,ARMVA/ARQ,Arquivo,N,S,N
110027509,ARMVA/CAR,Comissão de Análise de Recursos,N,N,N
110005333,ARMVA/DG,Diretoria Geral,N,N,N
110005579,ARMVA/DIL,Diretoria de Logistica,N,N,N
110006159,ARMVA/DPMAI,"Diretoria de Planejamento Metropolitano, Articulação e Intersetorialidade",N,N,N
110006160,ARMVA/DRM,Diretoria de Regulação Metropolitana,N,N,N
110022100,ARMVA/GAAI,Gerência de Apoio à Articulação e Intersetorialidade,N,N,N
110006153,ARMVA/GAB,Gabinete,N,N,N
110006164,ARMVA/GLRH,Gerência de Logística e Recursos Humanos,N,N,N
110006165,ARMVA/GLRH-RH,Gerência de Logística e Recursos Humanos - RH,N,N,N
110006163,ARMVA/GPCF,"Gerência de Planejamento, Contabilidade e Finanças",N,N,N
110023091,ARMVA/GPCF-PLAN,"Gerência de Planejamento, Contabilidade e Finanças - Planejamento",N,N,N
110006161,ARMVA/GPM,Gerência de Planejamento Metropolitano,N,N,N
110023089,ARMVA/GPM-DE,Gerência de Planejamento Metropolitano - Desenvolvimento Econômico,N,N,N
110023087,ARMVA/GPM-MA,Gerência de Planejamento Metropolitano - Meio Ambiente,N,N,N
110023088,ARMVA/GPM-MOB,Gerência de Planejamento Metropolitano - Mobilidade Urbana,N,N,N
110006162,ARMVA/GPMI,Gerência de Planejamento e Modernização Institucional,N,N,N
110006166,ARMVA/GREU,Gerência de Regulação da Expansão Urbana,N,N,N
110006167,ARMVA/GRF,Gerência de Regularização Fundiária,N,N,N
110023086,ARMVA/NATE,Núcleo de Assessoramento Técnico Especial,N,N,N
110000743,ARSAE/ASCOM,Assessoria de Comunicação Social,N,N,N
110022864,ARSAE/CAR,Comissão de Apreciação de Recursos,N,N,N
110001130,ARSAE/CCR,Conselho Consultivo de Regulação,N,N,N
110015999,ARSAE/COMINFOR,Comissão de Acesso à Informação Pública da Arsae-MG,N,N,N
110021628,ARSAE/COMISSAOETICA,Comissão de Ética da Arsae-MG,N,N,N
110027063,ARSAE/COMISSAOINOVACAO,Comissão de Inovação da Arsae-MG - InovArsae,N,N,N
110021629,ARSAE/COMPLIANCE,Comissão de Compliance / Integridade da Arsae-MG,N,N,N
110015053,ARSAE/CONT,Núcleo de Contabilidade (GPGF),N,N,N
110028909,ARSAE/CPAD,Comissão Permanente de Avaliação de  Documentos de Arquivo  CPAD,N,N,N
110000723,ARSAE/CRE,Coordenadoria Técnica de Regulação e Fiscalização Econômico-Financeira,N,N,N
110001078,ARSAE/CRO,Coordenadoria Técnica de Regulação Operacional e Fiscalização dos Serviços,N,N,N
110001079,ARSAE/DG,Diretoria-Geral,N,N,N
110004234,ARSAE/EquiPAR,Equipe de Perdas para Assuntos Regulatórios,N,N,N
110024860,ARSAE/EticaApuracao,Comissão de Ética dos titulares,N,N,N
110004259,ARSAE/FIN,Núcleo de Finanças (GPGF),N,N,N
110000728,ARSAE/GAB,Gabinete,N,N,N
110000799,ARSAE/GAR,Gerência de Ativos Regulatórios,N,N,N
110000760,ARSAE/GFE,Gerência de Fiscalização Econômica,N,N,N
110000754,ARSAE/GFO,Gerência de Fiscalização Operacional,N,N,N
110027412,ARSAE/GFO/APOIO,Fiscalização Operacional - Apoio Consultoria,N,N,N
110001080,ARSAE/GIE,Gerência de Informações Econômicas,N,N,N
110000810,ARSAE/GIO,Gerência de Informações Operacionais,N,N,N
110000773,ARSAE/GPC,Gerência de Planejamento e Controle,N,N,N
110020935,ARSAE/GPC/SANCOES,GPC - Processos com Sanções,N,N,N
110001081,ARSAE/GPGF,"Gerência de Planejamento, Gestão e Finanças",N,N,N
110000749,ARSAE/GRO,Gerência de Regulação Operacional,N,N,N
110000733,ARSAE/GRT,Gerência de Regulação Tarifária,N,N,N
110027161,ARSAE/LGPD,Grupo Interno - Lei Geral de Proteção de Dados Pessoais (LGPD),N,N,N
110004257,ARSAE/LOG,Núcleo de Logística (GPGF),N,N,N
110000802,ARSAE/OUV,Ouvidoria,N,N,S
110004258,ARSAE/PLAN,Núcleo de Planejamento e Orçamento,N,N,N
110003851,ARSAE/PROTOCOLO,Unidade de Protocolo,S,S,N
110031380,ARSAE/REGAR,Programa de educação relacionado ao saneamento - Arsae-MG,N,N,N
110004255,ARSAE/RH,Núcleo de Recursos Humanos (GPGF),N,N,N
110015806,ARSAE/RH - ARQUIVO,Arquivo de RH - Pastas Eletrônicas,N,N,N
110027806,ARSAE/TELETRABALHO,Comitê interno para acompanhamento do regime de teletrabalho da Arsae-MG,N,N,N
110004256,ARSAE/TI,Núcleo de Tecnologia da Informação e Comunicação (GPGF),N,N,N
110022677,ARSAE/VALORIZA,Comitê de Valorização dos Servidores da Arsae-MG,N,N,N
110033686,ARTEMIG/AEST,Assessoria Estratégica,N,N,N
110034137,ARTEMIG/CAC,Coordenação de Aquisições e Contratos,N,N,N
110033690,ARTEMIG/DC,Diretoria Colegiada,N,N,N
110033596,ARTEMIG/DG,Diretoria Geral,N,N,N
110033688,ARTEMIG/DIOR,Diretoria de Infraestrutura e Operações Rodoviárias,N,N,N
110033689,ARTEMIG/DREG,Diretoria de Regulação,N,N,N
110030586,ARTEMIG/GAB,Gabinete,S,N,N
110007862,ARTEMIG/GEN,Gerência de Engenharia,N,N,N
110030598,ARTEMIG/GFO,Gerência de Fiscalização e Operação,S,N,N
110030606,ARTEMIG/GID,Gerência de Inteligência de Dados,N,N,N
110001767,ARTEMIG/GIN,Gerência de Investimentos,N,N,N
110033691,ARTEMIG/GIPPEA,Comissão GIPPEA,N,N,N
110033687,ARTEMIG/GPGF,"Gerência de Planejamento, Gestão e Finanças",N,N,N
110033945,ARTEMIG/GPGF/CCF,Coordenação de Contabilidade e Finanças,N,N,N
110033944,ARTEMIG/GPGF/CPOL,"Coordenação de Planejamento, Orçamento e Logística",N,N,N
110030599,ARTEMIG/GRC,Gerência de Regulação Contratual,N,N,N
110030603,ARTEMIG/GRE,Gerência de Regulação Econômica,N,N,N
110001758,ARTEMIG/GTA,Gerência de Transporte Aeroviário e Hidroviário,S,S,N
110031094,ARTEMIG/GTA/HIDROVIÁRIO,Gerência de Transporte Aeroviário e Hidroviário,N,N,N
110030604,ARTEMIG/NPS,Núcleo de Processo Sancionador,N,N,N
110033653,ARTEMIG/RH,Coordenação de Recursos Humanos,N,N,N
110033323,BDMG/AGRONEGÓCIOS,Superintendência de Agronegócios,N,N,N
110015730,BDMG/ANÁLISE_DE_CRÉDITO,Superintendência de Análise de Crédito,N,N,N
110020972,BDMG/ASSEMBLEIA_GER_ACIONISTAS,Assembleia Geral de Acionistas,N,N,N
110015728,BDMG/AUDITORIA-GERAL,Auditoria-Geral,N,N,N
110020746,BDMG/AUDITORIA_EXTERNA,Auditoria Externa,N,N,N
110016414,BDMG/BDMG_CULTURAL,BDMG Cultural,N,N,N
110031962,BDMG/CIPA,Comissão Interna de Prevenção de Acidentes - CIPA,N,N,N
110023057,BDMG/COMISSÃO_ASSUNT_FISC_TRIB,Comissão Permanente de Assuntos Fiscais e Tributários,N,N,N
110031860,BDMG/COMISSÃO_CONCURSO_2024,Comissão do Concurso Público 2024,N,N,N
110032305,BDMG/COMISSÃO_DE_ÉTICA,Comissão de Ética do BDMG,N,N,N
110020873,BDMG/COMITÊ_DE_AUDITORIA,Comitê de Auditoria,N,N,N
110029505,BDMG/COMITÊ_PES_ELEG_SUCES_REM,"Comitê de Pessoas, Elegibilidade, Sucessão e Remuneração",N,N,N
110028464,BDMG/COMITÊ_RISCOS_E_CAPITAL,Comitê de Riscos e Capital,N,N,N
110015709,BDMG/COMUNICAÇÃO_E_ MARKETING,Gerência de Comunicação e Marketing,N,N,N
110015271,BDMG/CONFORMIDADE,Gerência de Conformidade,N,N,N
110015727,BDMG/CONSELHO_ADMINISTRAÇÃO,Conselho de Administração,N,N,N
110020971,BDMG/CONSELHO_FISCAL,Conselho Fiscal,N,N,N
110015178,BDMG/CONTROLADORIA,Superintendência de Controladoria,N,N,N
110031381,BDMG/CONVERSÃO_DE_NEGÓCIOS,Superintendência de Conversão de Negócios,N,N,N
110027373,BDMG/DESBAN,Fundação BDMG de Seguridade Social  DESBAN,N,N,N
110016473,BDMG/DESENV_NEGÓCIOS_PRODUTOS,Superintendência de Desenvolvimento de Negócios e Produtos,N,N,N
110015499,BDMG/DIRETORIA_COMERCIAL,Diretoria Comercial,N,N,N
110015256,BDMG/DIRETORIA_CRÉDITO_RISCOS,Diretoria de Crédito e Riscos,N,N,N
110015496,BDMG/DIRETORIA_FINANCEIRA,Diretoria Financeira,N,N,N
110015497,BDMG/FINANCEIRO,Superintendência de Administração Financeira,N,N,N
110015536,BDMG/GESTÃO_DE_CRÉDITO,Superintendência de Gestão de Crédito,N,N,N
110015447,BDMG/GESTÃO_DE_PESSOAS,Superintendência de Gestão de Pessoas e Patrimônio,N,N,N
110015458,BDMG/GOVERNANÇA,Superintendência de Governança,N,N,N
110027517,BDMG/GRUPO_TRABALHO_PORT_5373,Grupo de Trabalho Portaria 5373,N,N,N
110014827,BDMG/JURIDICO,Superintendência Jurídica,N,N,N
110031517,BDMG/LEILÃO_PRONAMPE,Leilão PRONAMPE,N,N,N
110028962,BDMG/LICITAÇÕES_E_CT_ADM,Licitações e Contratos Administrativos,N,N,N
110015566,BDMG/MICRO_E_PEQUENAS_EMPRESAS,Superintendência de Micro e Pequenas Empresas,N,N,N
110014935,BDMG/MUNICÍPIOS,Superintendência de Municípios,N,N,N
